0,0
0.052,0.0068
0.0824,0.0109
0.1147,0.0162
0.1403,0.0226
0.1631,0.0302
0.1857,0.0382
0.2055,0.0454
0.2221,0.0518
0.2361,0.0578
0.247,0.0631
0.2546,0.0672
0.2606,0.0709
0.2678,0.0761
0.278,0.0845
0.2898,0.0952
0.3007,0.1065
0.3104,0.1197
0.3205,0.1378
0.3305,0.159
0.3377,0.1779
0.341,0.1923
0.3402,0.2048
0.335,0.2182
0.3251,0.2332
0.3125,0.2482
0.3001,0.2614
0.2895,0.2723
0.2794,0.2823
0.2663,0.2941
0.2491,0.3083
0.2282,0.3222
0.2038,0.3342
0.178,0.3453
0.1536,0.3564
0.1302,0.3685
0.1075,0.3817
0.0874,0.3944
0.0686,0.4057
0.0454,0.4179
0.0165,0.4329
-0.0126,0.4498
-0.0381,0.467
-0.0586,0.481
-0.0722,0.4899
-0.0802,0.4981
-0.087,0.5104
-0.0954,0.5267
-0.1054,0.5458
-0.1159,0.5666
-0.1259,0.588
-0.1337,0.6077
-0.1378,0.6229
-0.1391,0.6338
-0.1388,0.6431
-0.1363,0.6546
-0.1303,0.6714
-0.1209,0.6926
-0.1087,0.7155
-0.0913,0.7412
-0.0661,0.772
-0.0337,0.8043
0.0062,0.8319
0.0574,0.8535
0.1173,0.8699
0.1789,0.8796
0.2439,0.88
0.3142,0.8693
0.376,0.8518
0.4132,0.8362
0.4279,0.8267
0.4322,0.8216
0.4331,0.8179
0.4308,0.8092
0.4208,0.7864
0.4006,0.7477
0.3741,0.7017
0.3466,0.6583
0.3184,0.6204
0.2887,0.5875
0.2591,0.5594
0.2291,0.5343
0.1967,0.5088
0.1628,0.4816
0.1305,0.4537
0.0973,0.4234
0.0557,0.3841
0.0055,0.3348
-0.0446,0.2838
-0.0864,0.2398
-0.1171,0.2056
-0.1381,0.1789
-0.1523,0.1561
-0.1616,0.1343
-0.1673,0.1129
-0.1701,0.0936
-0.171,0.0787
-0.171,0.0678
-0.1702,0.0594
-0.1683,0.0528
-0.1641,0.0465
-0.1566,0.0389
-0.1452,0.03
-0.1311,0.0208
-0.1163,0.0125
-0.103,0.0055
-0.0922,0.0002
-0.0847,-0.0031
-0.0793,-0.005
-0.0733,-0.0064
-0.0653,-0.0072
-0.0566,-0.0074
-0.0487,-0.0074
-0.0421,-0.0074
-0.0355,-0.0074
-0.0282,-0.0074
-0.0208,-0.0074
-0.0142,-0.0072
-0.0091,-0.0064
-0.0054,-0.0052
